mesec,tip,st_vseh,st_dizel,st_dizel_hev,st_bencin,st_bencin_hev,st_skupaj_hev,st_bev,st_drugo,st_elektrificiranih
2023-10,osebni avtomobil,7299,2833,355,2682,908,1263,482,39,1745
2023-10,tovorno vozilo,978,937,5,17,0,5,18,1,23
2023-10,traktor,304,212,0,92,0,0,0,0,0
2023-10,vlečno vozilo,232,232,0,0,0,0,0,0,0
2023-11,avtobus,13,11,0,0,0,0,2,0,2
2023-11,osebni avtomobil,7334,2750,358,2707,968,1327,518,33,1845
2023-11,tovorno vozilo,1131,1096,1,18,0,1,15,1,16
2023-11,traktor,226,181,0,45,0,0,0,0,0
2023-11,vlečno vozilo,233,233,0,0,0,0,0,0,0
2023-12,avtobus,14,10,0,0,0,0,4,0,4
2023-12,osebni avtomobil,5894,2367,324,2060,682,1006,431,30,1437
2023-12,tovorno vozilo,946,919,0,12,0,0,11,4,10
2023-12,traktor,196,153,0,43,0,0,0,0,0
2023-12,vlečno vozilo,111,111,0,0,0,0,0,0,0
